"id";"title";"slug";"price_guide"
440;"Matiz";"daewoo-matiz";0
441;"Musiro";"daewoo-musiro";0
442;"Musson";"daewoo-musson";0
443;"Nexia";"daewoo-nexia";0
444;"Nubira";"daewoo-nubira";0
445;"Prince";"daewoo-prince";0
446;"Rexton";"daewoo-rexton";0
447;"Rezzo";"daewoo-rezzo";0
448;"Tacuma";"daewoo-tacuma";0
449;"Vada";"daewoo-vada";0
450;"44";"daf-44";0
451;"46";"daf-46";0
452;"600";"daf-600";0
453;"66";"daf-66";0
454;"750";"daf-750";0
455;"Daffodil";"daf-daffodil";0
456;"Altis";"daihatsu-altis";0
457;"Applause";"daihatsu-applause";0
458;"Atrai";"daihatsu-atrai";0
459;"Bee";"daihatsu-bee";0
460;"Charade";"daihatsu-charade";0
461;"Charmant";"daihatsu-charmant";0
462;"Compagno";"daihatsu-compagno";0
463;"Consorte";"daihatsu-consorte";0
464;"Copen";"daihatsu-copen";0
465;"Cuore";"daihatsu-cuore";0
466;"Delta";"daihatsu-delta";0
467;"Domino";"daihatsu-domino";0
468;"Fellow";"daihatsu-fellow";0
469;"Feroza";"daihatsu-feroza";0
470;"Fourtrak";"daihatsu-fourtrak";0
471;"Freeclimber";"daihatsu-freeclimber";0
472;"Gran";"daihatsu-gran";0
473;"Leeza";"daihatsu-leeza";0
474;"Materia";"daihatsu-materia";0
475;"Micros";"daihatsu-micros";0
476;"Mira";"daihatsu-mira";0
477;"Move";"daihatsu-move";0
478;"Muse";"daihatsu-muse";0
479;"Naked";"daihatsu-naked";0
480;"Opti";"daihatsu-opti";0
481;"Rocky";"daihatsu-rocky";0
482;"Sirion";"daihatsu-sirion";0
483;"Taft";"daihatsu-taft";0
484;"Terios";"daihatsu-terios";0
485;"Trevis";"daihatsu-trevis";0
486;"YRV";"daihatsu-yrv";0
487;"4.2";"daimler-42";0
488;"Conquest";"daimler-conquest";0
489;"DE";"daimler-de";0
490;"DK";"daimler-dk";0
491;"One-O-Four";"daimler-one-o-four";0
492;"Super";"daimler-super";0
493;"100";"datsun-100";0
494;"1000";"datsun-1000";0
495;"1200";"datsun-1200";0
496;"1600";"datsun-1600";0
497;"1800";"datsun-1800";0
498;"240Z";"datsun-240z";0
499;"260";"datsun-260";0
500;"280";"datsun-280";0
501;"Laurel";"datsun-laurel";0
502;"Violet";"datsun-violet";0
503;"600";"dodge-600";0
504;"Aspen";"dodge-aspen";0
505;"Avenger";"dodge-avenger";0
506;"Caliber";"dodge-caliber";0
507;"Caravan";"dodge-caravan";0
508;"Challenger";"dodge-challenger";0
509;"Charger";"dodge-charger";0
510;"Colt";"dodge-colt";0
511;"Conquest";"dodge-conquest";0
512;"Copperhead";"dodge-copperhead";0
513;"Coronet";"dodge-coronet";0
514;"Custom";"dodge-custom";0
515;"Dakota";"dodge-dakota";0
516;"Dart";"dodge-dart";0
